"Total de registros", 899
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2CENTRO","2554","2554","C2C-MORELO-2554-2554-PTZ","16"
"C2CENTRO","502","101335","C2C-ASTURI-101335-502-FIJA","16"
"C2CENTRO","893","116318","C2C-ROMA-116318-893-FIJA","16"
"C2CENTRO","502","101334","C2C-ASTURI-101334-502-FIJA","16"
"C2CENTRO","2543","121131","C2C-CENTRO-121131-2543-FIJA","15"
"C2CENTRO","893","116317","C2C-ROMA-116317-893-FIJA","15"
"C2CENTRO","6718","130119","C2C-BUENAV-130119-6718-FIJA","15"
"C2CENTRO","893","116320","C2C-ROMA-116320-893-FIJA","15"
"C2CENTRO","2397","2397","C2C-ALAMED-2397-2397-PTZ","15"
"C2CENTRO","893","116319","C2C-ROMA-116319-893-FIJA","15"
"C2CENTRO","2554","119201","C2C-MORELO-119201-2554-FIJA","15"
"C2CENTRO","7980","113767","C2C-BUENAV-113767-7980-FIJA","15"
"C2CENTRO","5427","120963","C2C-TLATEL-120963-5427-FIJA","14"
"C2CENTRO","502","502","C2C-ASTURI-502-502-PTZ","14"
"C2CENTRO","8034","121055","C2C-ROMA-121055-8034-FIJA","14"
"C2CENTRO","6726","122263","C2C-MORELO-122263-6726-FIJA","14"
"C2CENTRO","2543","2543","C2C-CENTRO-2543-2543-PTZ","14"
"C2CENTRO","893","893","C2C-ROMA-893-893-PTZ","14"
"C2CENTRO","6715","119298","C2C-ROMA-119298-6715-FIJA","13"
"C2CENTRO","10055","122641","C2C-CENTRO-122641-10055-FIJA","13"
"C2CENTRO","10055","10055","C2C-CENTRO-10055-10055-PTZ","13"
"C2CENTRO","10055","122640","C2C-CENTRO-122640-10055-FIJA","13"
"C2CENTRO","8034","8034","C2C-ROMA-8034-8034-PTZ","12"
"C2CENTRO","6715","119297","C2C-ROMA-119297-6715-FIJA","12"
"C2CENTRO","2440","180060","C2C-CENTRO-180060-2440-FIJA","12"
"C2CENTRO","8058","122416","C2C-TLATEL-122416-8058-FIJA","12"
"C2CENTRO","10055","122642","C2C-CENTRO-122642-10055-FIJA","12"
"C2CENTRO","13421","13421","C2C-ANGEL-13421-13421-PTZ-20M","12"
"C2CENTRO","2221","2221","C2C-ASTURI-2221-2221-PTZ-20M","12"
"C2CENTRO","6715","119300","C2C-ROMA-119300-6715-FIJA","11"
"C2CENTRO","6715","119299","C2C-ROMA-119299-6715-FIJA","11"
"C2CENTRO","10118","122653","C2C-ALAMED-122653-10118-FIJA","11"
