"Total de registros", 5261
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2PONIENTE","1516","103434","C2P-SOTELO-103434-1516-FIJA","57"
"C2PONIENTE","1516","103433","C2P-SOTELO-103433-1516-FIJA","57"
"C2PONIENTE","7316","131381","C2P-DINAMO-131381-7316-FIJA","55"
"C2PONIENTE","8011","8011","C2P-TACUBA-8011-8011-PTZ","53"
"C2PONIENTE","1516","103435","C2P-SOTELO-103435-1516-FIJA","53"
"C2PONIENTE","6413","6413","C2P-HORMIG-6413-6413-PTZ","52"
"C2PONIENTE","1516","103436","C2P-SOTELO-103436-1516-FIJA","51"
"C2PONIENTE","7913","7913","C2P-SOTELO-7913-7913-PTZ","51"
"C2PONIENTE","2919","2919","C2P-PLATER-2919-2919-PTZ-20M","50"
"C2PONIENTE","7316","131384","C2P-DINAMO-131384-7316-FIJA","47"
"C2PONIENTE","7316","131383","C2P-DINAMO-131383-7316-FIJA","46"
"C2PONIENTE","7316","131382","C2P-DINAMO-131382-7316-FIJA","46"
"C2PONIENTE","13835","13835","C2P-TACUBA-13835-13835-PTZ","43"
"C2PONIENTE","12125","12125","C2P-HORMIG-12125-12125-PTZ","40"
"C2PONIENTE","13871","13871","C2P-TACUBA-13871-13871-PTZ","40"
"C2PONIENTE","7833","122377","C2P-TACUBA-122377-7833-FIJA","40"
"C2PONIENTE","7833","122375","C2P-TACUBA-122375-7833-FIJA","40"
"C2PONIENTE","1516","1516","C2P-SOTELO-1516-1516-PTZ","39"
"C2PONIENTE","3147","121765","C2P-TACUBA-121765-3147-FIJA","38"
"C2PONIENTE","7833","122376","C2P-TACUBA-122376-7833-FIJA","37"
"C2PONIENTE","3068","3068","C2P-TACUBA-3068-3068-PTZ","36"
"C2PONIENTE","12379","12379","C2P-PLATER-12379-12379-PTZ-20M","36"
"C2PONIENTE","6239","125458","C2P-ELYAQU-125458-6239-FIJA","35"
"C2PONIENTE","7907","7907","C2P-POLANC-7907-7907-PTZ","35"
"C2PONIENTE","6239","125457","C2P-ELYAQU-125457-6239-FIJA","35"
"C2PONIENTE","3147","121766","C2P-TACUBA-121766-3147-FIJA","35"
"C2PONIENTE","6239","6239","C2P-ELYAQU-6239-6239-PTZ","33"
"C2PONIENTE","3151","123931","C2P-SOTELO-123931-3151-FIJA","33"
"C2PONIENTE","3147","121763","C2P-TACUBA-121763-3147-FIJA","33"
"C2PONIENTE","3151","3151","C2P-SOTELO-3151-3151-PTZ","33"
"C2PONIENTE","3068","105600","C2P-TACUBA-105600-3068-FIJA","32"
"C2PONIENTE","13285","13285","C2P-DINAMO-13285-13285-PTZ","32"
"C2PONIENTE","3147","121764","C2P-TACUBA-121764-3147-FIJA","31"
"C2PONIENTE","7833","122378","C2P-TACUBA-122378-7833-FIJA","31"
"C2PONIENTE","12915","115156","C2P-HORMIG-115156-12915-FIJA","31"
"C2PONIENTE","3176","105917","C2P-TACUBA-105917-3176-FIJA","30"
"C2PONIENTE","12806","12806","C2P-CUITLA-12806-12806-PTZ-20M","30"
"C2PONIENTE","3151","123933","C2P-SOTELO-123933-3151-FIJA","29"
"C2PONIENTE","1257","102954","C2P-SANANG-102954-1257-FIJA","29"
"C2PONIENTE","6239","125456","C2P-ELYAQU-125456-6239-FIJA","29"
"C2PONIENTE","1257","102956","C2P-SANANG-102956-1257-FIJA","28"
"C2PONIENTE","805","102094","C2P-SANJER-102094-805-FIJA","28"
"C2PONIENTE","6239","125455","C2P-ELYAQU-125455-6239-FIJA","28"
"C2PONIENTE","3215","3215","C2P-POLANC-3215-3215-PTZ","27"
"C2PONIENTE","12915","12915","C2P-HORMIG-12915-12915-PTZ","27"
"C2PONIENTE","3151","123932","C2P-SOTELO-123932-3151-FIJA","27"
"C2PONIENTE","6440","6440","C2P-HORMIG-6440-6440-PTZ","27"
"C2PONIENTE","1257","102953","C2P-SANANG-102953-1257-FIJA","27"
"C2PONIENTE","3068","105599","C2P-TACUBA-105599-3068-FIJA","27"
"C2PONIENTE","9206","122497","C2P-HORMIG-122497-9206-FIJA","27"
"C2PONIENTE","12374","12374","C2P-ALPES-12374-12374-PTZ-20M","27"
"C2PONIENTE","1257","1257","C2P-SANANG-1257-1257-PTZ","27"
"C2PONIENTE","3068","105598","C2P-TACUBA-105598-3068-FIJA","27"
"C2PONIENTE","1257","102955","C2P-SANANG-102955-1257-FIJA","26"
"C2PONIENTE","12790","12790","C2P-HORMIG-12790-12790-PTZ-20M","26"
"C2PONIENTE","12915","115155","C2P-HORMIG-115155-12915-FIJA","26"
"C2PONIENTE","13606","13606","C2P-TACUBA-13606-13606-PTZ","26"
"C2PONIENTE","2248","2248","C2P-POLANC-2248-2248-PTZ-20M","26"
